Zip1,MeanHouseholdIncome
0,19109.25178
0,21591.5322
0,20005.67512
0,12013.3427
0,19188.84193
0,16687.41549
0,20752.27658
0,20478.25493
0,15795.29435
0,21453.43754
0,17980.0882
0,22683.87128
0,20650.43035
0,25698.04844
0,24476.01359
0,23242.62804
0,19158.99981
0,19334.35583
0,16665.89406
0,21018.27319
0,29362.26095
0,22432.14098
0,24618.31297
0,26075.38237
0,67246.33268
0,33185.26421
0,60746.50758
0,52891.53439
0,45982.94767
0,43534.71843
0,52710.04364
0,61186.20459
0,52413.15346
0,58559.64351
0,54706.16883
0,53985.5687
0,29611.51079
0,37088.58911
0,50889.42963
0,35488.921
0,58611.27596
0,52639.43809
0,38494.32372
0,69317.83681
0,58103.42146
0,64244.74628
0,34500
0,47794.50626
0,59238.92774
0,53521.42857
0,62276.08471
0,60230.39914
0,49700
0,45362.62057
0,94498.45417
0,67945.87434
0,60939.07615
0,52016.50165
0,64906.74362
0,60561.42365
0,74755.62527
0,71515.88785
0,90606.73457
0,50456.85769
0,88521.00476
0,76947.06775
0,42770.11813
0,37795.67388
0,82606.15679
0,79490.52707
0,78568.57143
0,66593.04468
0,69154.31424
0,103458.0613
0,82189.68245
0,65484.58396
0,56880.79145
0,55918.88613
0,76551.58251
0,22021.28751
0,44716.83861
0,67822.46785
0,71490.57056
0,41433.32444
0,94913.56322
0,73435.50503
0,55465.87367
0,64304.93052
0,101547.7308
0,72227.25951
0,87953.15348
0,106390.7839
0,88663.19444
0,86699.31501
0,86517.18264
0,48684.11742
0,36078.69228
0,51229.9498
0,55990.22629
0,62816.70463
0,51163.30907
0,52025.89775
0,61661.12078
0,41623.40764
0,55739.98208
0,95325.53036
0,41210.40535
0,46313.94832
0,72324.41766
0,57844.7532
0,107427.4508
0,90199.04187
0,32500
0,64203.43271
0,0
0,63496.19723
0,61066.48771
0,62828.095
0,81432.90662
0,86024.64021
0,72359.59085
0,80962.21249
0,96703.1789
0,118526.5475
0,53263.83165
0,74833.33333
0,55755.87751
0,44835.29412
0,51843.28833
0,66277.70201
0,61696.55104
0,76833.79008
0,17500
0,57907.21649
0,52117.64706
0,64500.71135
0,35706.89655
0,66152.58856
0,34928.64493
0,33839.44073
0,56318.78509
0,71075.48881
0,57155.7222
0,46031.61178
0,72863.84072
0,67157.71249
0,55295.18072
0,57541.76993
0,76590.90909
0,43244.74257
0,61340
0,61919.30681
0,52469.42181
0,54591.52572
0,71492.92371
0,51939.47368
0,17110.98901
0,19545.95795
0,16636.48576
0,16962.91844
0,18673.95317
0,18932.80396
0,20541.55767
0,17320.39745
0,17294.85609
0,20415.11936
0,19110.33753
0,18656.70963
0,20502.22703
0,22943.99893
0,24849.64712
0,20073.89813
0,16116.43836
0,19142.64067
0,26380.48749
0,19957.56579
0,17307.21787
0,17477.29374
0,20838.54167
0,23621.95491
0,39138.47245
0,24944.65486
0,41974.16882
0,47242.64706
0,54690.82762
0,27372.37631
0,61446.56489
0,56804.73136
0,54336.34538
0,53018.93552
0,62832.70576
0,67263.48548
0,68354.50597
0,60206.09982
0,60754.14546
0,47161.27232
0,67579.96418
0,57678.02739
0,44488.92128
0,48977.6181
0,77865.02074
0,28146.94583
0,24638.31856
0,47284.68672
0,47016.83561
0,45967.028
0,49935.01805
0,66616.21967
0,65787.03704
0,68855.07246
0,60914.55696
0,60376.59033
0,49051.05105
0,48582.6087
0,24446.42857
0,54445.66624
0,42758.86991
0,53660.98707
0,52608.3815
0,40220.45045
0,48088.23529
0,44201.91182
0,58138.29787
0,83932.21063
0,69644.94928
0,56953.40957
0,67150.6883
0,57888.7224
0,53723.84439
0,57796.1165
0,65111.7284
0,66431.56708
0,67358.56016
0,55398.74043
0,90725.46804
0,66847.01571
0,51271.37459
0,41868.00386
0,53502.02386
0,54472.68908
0,102656.8545
0,55573.02231
0,136064.3284
0,60614.67688
0,130792.0525
0,101735.0012
0,58175.00844
0,48595.44294
0,44282.00599
0,87807.35976
0,75419.32468
0,75472.28542
0,108705.1754
0,113255.3199
0,62250.94675
0,64725.60062
0,81982.85449
0,95235.90982
0,58525.5675
0,74027.89394
0,100334.4607
0,66397.60349
0,54822.99468
0,92502.66464
0,148579.3475
0,80389.02743
0,82852.50182
0,101346.2438
